Accounting Variable,2020-11-27,2021-12-03,2022-12-02,2023-12-01,2024-03-01,2024-05-31,2024-08-30,2024-11-29,2025-02-28
Revenue,12868000000.0,15785000000.0,17606000000.0,19409000000.0,5182000000.0,5309000000.0,5408000000.0,21505000000.0,5714000000.0
OperatingIncome,4237000000.0,5802000000.0,6098000000.0,6650000000.0,907000000.0,1885000000.0,1992000000.0,6741000000.0,2163000000.0
Equity(BV),13264000000.0,14797000000.0,14051000000.0,16518000000.0,15460000000.0,14843000000.0,14545000000.0,14105000000.0,13095000000.0
ShortTermDebt(BV),0.0,0.0,500000000.0,0.0,1497000000.0,1498000000.0,1499000000.0,1499000000.0,0.0
LongTermDebtWithoutLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebt(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debt(BV),0.0,0.0,500000000.0,0.0,1497000000.0,1498000000.0,1499000000.0,1499000000.0,0.0
Cash,4478000000.0,3844000000.0,4236000000.0,7141000000.0,6254000000.0,7660000000.0,7193000000.0,7613000000.0,6758000000.0
Tax,-1084000000.0,883000000.0,1252000000.0,1371000000.0,348000000.0,357000000.0,358000000.0,1371000000.0,371000000.0
LeaseDueThisYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeaseDueYearOne,104000000.0,108000000.0,95000000.0,83000000.0,0.0,0.0,0.0,85000000.0,0.0
LeaseDueYearTwo,90000000.0,87000000.0,78000000.0,80000000.0,0.0,0.0,0.0,83000000.0,0.0
LeaseDueYearThree,72000000.0,68000000.0,74000000.0,74000000.0,0.0,0.0,0.0,83000000.0,0.0
LeaseDueYearFour,59000000.0,65000000.0,67000000.0,74000000.0,0.0,0.0,0.0,70000000.0,0.0
LeaseDueYearFive,60000000.0,60000000.0,67000000.0,62000000.0,0.0,0.0,0.0,52000000.0,0.0
LeaseDueAfterYearFive,272000000.0,216000000.0,167000000.0,111000000.0,0.0,0.0,0.0,90000000.0,0.0
NetIncome,5260000000.0,4822000000.0,4756000000.0,5428000000.0,620000000.0,1573000000.0,1684000000.0,5560000000.0,1811000000.0
CurrentAssets,8146000000.0,8669000000.0,8996000000.0,11084000000.0,10008000000.0,11023000000.0,10716000000.0,11232000000.0,10855000000.0
CurrentLiabilities,5512000000.0,6932000000.0,8128000000.0,8251000000.0,9537000000.0,9474000000.0,9644000000.0,10521000000.0,9163000000.0
TotalLiability,11020000000.0,12444000000.0,13114000000.0,13261000000.0,13291000000.0,15164000000.0,15285000000.0,16125000000.0,16860000000.0
TotalAsset,24284000000.0,27241000000.0,27165000000.0,29779000000.0,28751000000.0,30007000000.0,29830000000.0,30230000000.0,29955000000.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
