Accounting Variable,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2025-03-31
Revenue,386064000000.0,469822000000.0,513983000000.0,574785000000.0,143313000000.0,147977000000.0,158877000000.0,155667000000.0
OperatingIncome,22899000000.0,24879000000.0,12248000000.0,36852000000.0,15307000000.0,14672000000.0,17411000000.0,18405000000.0
Equity(BV),93404000000.0,138245000000.0,146043000000.0,201875000000.0,216661000000.0,236447000000.0,259151000000.0,305867000000.0
ShortTermDebt(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebtWithoutLease(BV),31816000000.0,48744000000.0,67150000000.0,58314000000.0,57634000000.0,54889000000.0,54890000000.0,53374000000.0
LongTermLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LongTermDebt(BV),31816000000.0,48744000000.0,67150000000.0,58314000000.0,57634000000.0,54889000000.0,54890000000.0,53374000000.0
Debt(BV),31816000000.0,48744000000.0,67150000000.0,58314000000.0,57634000000.0,54889000000.0,54890000000.0,53374000000.0
Cash,42122000000.0,36220000000.0,53888000000.0,73387000000.0,72852000000.0,71178000000.0,75091000000.0,66207000000.0
Tax,2863000000.0,4791000000.0,-3217000000.0,7120000000.0,2467000000.0,1767000000.0,2706000000.0,4553000000.0
LeaseDueThisYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeaseDueYearOne,5600000000.0,7838000000.0,9574000000.0,11229000000.0,10276000000.0,10766000000.0,11434000000.0,11817000000.0
LeaseDueYearTwo,5184000000.0,7178000000.0,8658000000.0,9922000000.0,9531000000.0,10021000000.0,10686000000.0,10808000000.0
LeaseDueYearThree,4743000000.0,6649000000.0,8024000000.0,9156000000.0,8708000000.0,9160000000.0,9755000000.0,9815000000.0
LeaseDueYearFour,4356000000.0,6128000000.0,7393000000.0,8321000000.0,7908000000.0,8353000000.0,8874000000.0,9070000000.0
LeaseDueYearFive,3951000000.0,5574000000.0,6675000000.0,7546000000.0,0.0,0.0,0.0,0.0
LeaseDueAfterYearFive,22330000000.0,32902000000.0,40949000000.0,44603000000.0,0.0,0.0,0.0,0.0
NetIncome,21331000000.0,33364000000.0,-2722000000.0,30425000000.0,10431000000.0,13485000000.0,15328000000.0,17127000000.0
CurrentAssets,132733000000.0,161580000000.0,146791000000.0,172351000000.0,163989000000.0,173307000000.0,175792000000.0,184645000000.0
CurrentLiabilities,126385000000.0,142266000000.0,155393000000.0,164917000000.0,152965000000.0,158172000000.0,161477000000.0,176171000000.0
TotalLiability,227791000000.0,282304000000.0,316632000000.0,325979000000.0,314308000000.0,318371000000.0,325475000000.0,337389000000.0
TotalAsset,321195000000.0,420549000000.0,462675000000.0,527854000000.0,530969000000.0,554818000000.0,584626000000.0,643256000000.0
Inventory,23795000000.0,32640000000.0,34405000000.0,33318000000.0,31147000000.0,34109000000.0,36103000000.0,35864000000.0
